Name	die	crit	crit	melee	hands	skill	throw	ammo	reach	slash	pierce	blunt	parry	riposte	feint	trip	disarm	
battle axe	1d8	20	x3	melee	1	axe	FALSE	N/A	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	
tomahawk	1d6	20	x2	melee	1	axe	TRUE	N/A	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	
cleaver	1d4	19-20	x2	melee	1	axe	TRUE	N/A	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	
halberd	1d10	20	x3	melee	2	axe	FALSE	N/A	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	
pollaxe	1d8	20	x4	melee	2	axe	FALSE	N/A	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	
dane axe	1d12	20	x3	melee	2	axe	FALSE	N/A	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	
war pick	1d6	20	x4	melee	1	axe	FALSE	N/A	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	
claymore	1d12	19-20	x2	melee	2	sword	FALSE	N/A	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	
zweihander	2d6	19-20	x2	melee	2	sword	FALSE	N/A	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	
svardstav	1d10	19-20	x2	melee	2	sword	FALSE	N/A	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	
sabre	1d8	19-20	x2	melee	1	sword	FALSE	N/A	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	
gladius	1d8	19-20	x2	melee	1	sword	FALSE	N/A	FALSE	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	
dirk	1d4	19-20	x2	melee	1	sword	TRUE	N/A	FALSE	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	
rapier	1d6	18-20	x2	melee	1	sword	FALSE	N/A	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	
hook sword	1d6	19-20	x2	melee	1	sword	FALSE	N/A	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	
katana	2d4	18-20	x2	melee	2	sword	FALSE	N/A	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	
cutlass	1d6	18-20	x2	melee	1	sword	FALSE	N/A	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	
javelin	1d6	19-20	x2	melee	1	spear	TRUE	N/A	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	
trident	1d8	20	x2	melee	1	spear	TRUE	N/A	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	
guisarme	2d4	20	x3	melee	2	spear	FALSE	N/A	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	
glaive	1d10	20	x3	melee	2	spear	FALSE	N/A	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	
naginata	2d6	20	x2	melee	2	spear	FALSE	N/A	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	
scythe	2d4	20	x4	melee	2	spear	FALSE	N/A	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	
spear	1d8	19-20	x2	melee	1	spear	TRUE	N/A	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	
pike	1d12	20	x2	melee	2	spear	FALSE	N/A	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	
partizan	2d4	20	x3	melee	2	spear	FALSE	N/A	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	
shillelagh	1d8	20	x3	melee	1	club	FALSE	N/A	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	
morning star	1d10	20	x3	melee	1	club	FALSE	N/A	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	
nunchaku	1d4	18-20	x2	melee	1	club	FALSE	N/A	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	TRUE	
mace	1d6	20	x3	melee	1	club	FALSE	N/A	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	
kanabo	2d6	19-20	x2	melee	2	club	FALSE	N/A	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	
cudgel	1d12	20	x3	melee	2	club	FALSE	N/A	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	
flail	2d4	20	x4	melee	1	club	FALSE	N/A	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	
warhammer	1d12	20	x2	melee	1	club	TRUE	N/A	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	
maul	1d10	18-20	x3	melee	2	club	FALSE	N/A	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	
lucerne	2d4	20	x3	melee	2	club	FALSE	N/A	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	
harpoon	1d6	20	x2	FALSE	2	bow	FALSE	None	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	
recurve bow	arrow	19-20	x2	FALSE	2	bow	FALSE	Arrow	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	
longbow	arrow	20	x3	FALSE	2	bow	FALSE	Arrow	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	
arbalest	bolt	20	x3	FALSE	2	bow	FALSE	Bolt	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	
crossbow	bolt	19-20	x2	FALSE	2	bow	FALSE	Bolt	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	
